Location Name,Vendor Name,Item Code,Item Description,UOM,Item UOM,Pack,Size,Unit,Contracted Price ($),Last Purchased Date,Last Purchased Price ($),Close Watch,Product(s)
Lea James Hot Chicken,"JAKE'S, INC.",SALT03,*TO* SALT KOSHER BOX 10024600017029,case,,12,3,lb,0,5/9/2025,3.54,FALSE,
Lea James Hot Chicken,"JAKES, INC.",272261,*TO* SODA COCA COLA 500ML MEXICAN,cs,each,24,1,each,0,6/9/2025,39.5,TRUE,"N/A Bev, Coca Cola, Mexican, Bottle"
Lea James Hot Chicken,US Foods,8648164,TOWEL  PAPR 9.5X9 MLTFD BRN 1,cs,,16,250,each,0,11/13/2023,32.29,FALSE,
Lea James Hot Chicken,Chefs Produce,1212,TURMERIC FRESH,lb,,1,1,lb,0,5/23/2024,13,FALSE,"Produce, Tumeric, Fresh"
Lea James Hot Chicken,"JAKES, INC.",FLAV16,vantlla imitation FLAVOR 5X,ea,each,4,1,gal,0,6/29/2023,12.08,FALSE,"Dry Goods, vantlla imitation FLAVOR 5X"
Lea James Hot Chicken,"JAKES, INC.",369874,VINEGAR APPLE CIDER,ea,,1,1,gal,0,5/16/2025,12.96,FALSE,"Produce, VINEGAR APPLE CIDER SPW LN"
Lea James Hot Chicken,Chefs Produce,1613,VINEGAR APPLE CIDER SPW LN,cs,each,4,1,gal,0,4/24/2023,76,FALSE,"Produce, VINEGAR APPLE CIDER SPW LN"
Lea James Hot Chicken,US Foods,1328335,VINEGAR  DSTLD WHT DMSTC 50,cs,ea,4,1,gal,0,12/31/2024,16.98,FALSE,"Dry Goods, Vinegar, White"
Lea James Hot Chicken,"JAKES, INC.",270670,VINEGAR RED WINE,ea,ea,2,5,ltr,0,5/23/2025,16.73,FALSE,"Dry Goods, Vinegar, Red Wine"
Lea James Hot Chicken,"JAKE'S, INC.",OLVS24,VINEGAR RICE HINE SEASONED 10041224705200,jug,,1,128,fl,0,5/26/2025,78.72,FALSE,"Dry Goods, Vinegar, Rice Wine"
Lea James Hot Chicken,"JAKES, INC.",410006,VINEGAR WH 50GR,ea,,1,1,gallon,0,5/12/2025,4.36,FALSE,
Lea James Hot Chicken,US Foods,410006,VINEGAR WH 50GR m 0007173535009,cs,each,6,1,gal,0,6/30/2025,20.16,FALSE,"Dry Goods, SO VINEGAR WH 50GR"
Lea James Hot Chicken,"JAKE'S, INC.",OLVS11,VINEGAR WHITE 40 GR,cs,each,6,1,gal,0,5/22/2024,20.99,FALSE,
